"A while back it came as something of a start to find in The New Yorker a reference to an article I had written, and I quote, ""In the middle of the last century."" Yet persons my age have been thinking back to those times and how, in the end, things turned out so well and so badly. Millions of us returned from the assorted services to find the economic growth that had come with the Second World War had not ended with the peace. The Depression had not resumed. It is not perhaps remembered, but it was widely thought it would.",Classification,Confidence

"It would be difficult indeed to summon up the optimism that came with this great surprise. My beloved colleague Nathan Glazer and the revered David Riesman wrote that America was ""the land of the second chance"" and so indeed it seemed. We had surmounted the depression; the war. We could realistically think of a world of stability, peace — above all, a world of law.",Negative,0.693

"Looking back, it is clear we were not nearly so fortunate. Great leaders preserved — and in measure extended — democracy. But totalitarianism had not been defeated. To the contrary, by 1948 totalitarians controlled most of Eurasia. As we now learn, 11 days after Nagasaki the Soviets established a special committee to create an equivalent weapon. Their first atomic bomb was acquired through espionage, but their hydrogen bomb was their own doing. Now the Cold War was on. From the summer of 1914, the world had been at war, with interludes no more. It finally seemed to end with the collapse of the Soviet Union and the changes in China. But now",Negative,0.886

But now we have to ask if it is once again the summer of 1914.,Neutral,0.733

"Small acts of terror in the Middle East, in South Asia, could lead to cataclysm, as they did in Sarajevo. And for which great powers, mindful or not, have been preparing.",Positive,0.48

The eras are overlapping.,Neutral,0.573

"As the United States reacts to the mass murder of 9/11 and prepares for more, it would do well to consider how much terror India endured in the second half of the last century. And its response. It happens I was our man in New Delhi in 1974 when India detonated its first nuclear device. I was sent in to see Prime Minister Indira Gandhi with a statement as much as anything of regret. For there was nothing to be done; it was going to happen. The second most populous nation on earth was not going to leave itself disarmed and disregarded, as non-nuclear powers appeared to be. But leaving, I asked to speak as a friend of India and not as an official. In twenty years time, I opined, there would be a Moghul general in command in Islamabad, and he would have nuclear weapons and would demand Kashmir back, perhaps the Punjab.",Negative,0.761

"The Prime Minister said nothing; I dare to think she half agreed. In time, she would be murdered in her own garden; next, her son and successor was murdered by a suicide bomber. This, while nuclear weapons accumulated which are now poised.",Negative,0.858

"Standing at Trinity Site at Los Alamos, J. Robert Oppenheimer pondered an ancient Sanskrit text in which Lord Shiva declares, ""I am become Death, the shatterer of worlds."" Was he right?",Neutral,0.826

At the very least we can come to terms with the limits of our capacity to foresee events.,Neutral,0.664

"It happens I had been a Senate observer to the START negotiations in Geneva, and was on the Foreign Relations Committee when the treaty, having been signed, was sent to us for ratification. In a moment of mischief I remarked to our superb negotiators that we had sent them to Geneva to negotiate a treaty with the Soviet Union, but the document before us was a treaty with four countries, only two of which I could confidently locate on a map. I was told they had exchanged letters in Lisbon [the Lisbon Protocol, May 23, 1992]. I said that sounded like a Humphrey Bogart movie.",Positive,0.655

"The hard fact is that American intelligence had not the least anticipated the implosion of the Soviet Union. I cite Stansfield Turner, former director of the CIA in Foreign Affairs, 1991. ""We should not gloss over the enormity of this failure to forecast the magnitude of the Soviet crisisThe corporate view missed by a mile.""",Negative,0.846

Russia now faces a near-permanent crisis. By mid-century its population could well decline to as few as 80 million persons. Immigrants will press in; one dares not think what will have happened to the nuclear materials scattered across 11 time zones.,Negative,0.799

"Admiral Turner's 1991 article was entitled ""Intelligence for a New World Order."" Two years later Samuel Huntington outlined what that new world order — or disorder — would be in an article in the same journal entitled ""The Clash of Civilizations."" His subsequent book of that title is a defining text of our time.",Neutral,0.606

"Huntington perceives a world of seven or eight major conflicting cultures, the West, Russia, China, India, and Islam. Add Japan, South America, Africa. Most incorporate a major nation-state which typically leads its fellows.",Neutral,0.663

"The Cold War on balance suppressed conflict. But the end of the Cold War has brought not universal peace but widespread violence. Some of this has been merely residual proxy conflicts dating back to the earlier era. Some plain ethnic conflict. But the new horrors occur on the fault lines, as Huntington has it, between the different cultures.",Positive,0.408

