20 years ago the Federal CommunicationsCommittee abolished the long-standingFairness Doctrine that requiredbroadcast media to give equal time todivergent views on public issues in the,Classification,Confidence
years sense the budgets and broadcasttime allotted for hard news reportinghave contracted severely at the sametime that their news audiences havegrown older some voices warned that the,Negative,0.609
segmentation of media may make it tooeasy for Americans to hear just theviews they want to hear rather than thefacts they may need to hear publictelevisions news hour with Jim Lehrer,Negative,0.462
has not needed a Fairness Doctrine twofearless Lee and impartially report thenews and analyze it in depth itsself-effacing star is the antithesis ofinfotainment Jim Lehrer hails from,Neutral,0.421
America's heartland born in WichitaKansas schooled in Beaumont and SanAntonio Texas and then the University ofMissouri after three years in the USMarine Corps he worked as a newspaperman,Neutral,0.847
in Dallas and then migrated totelevision news he joined the PublicBroadcasting System in 1972 and coveredthe Senate Watergate hearings withRobert McNeil in 1973 and 31 years ago,Neutral,0.878
began the macneil-lehrer report that hasevolved in today's Newshourmr. lair has been honored with numerousawards for journalism including apresidential National Humanities medal,Neutral,0.731
in 1999 in the last five presidentialelections he moderated ten of thenationally televised debates mostrecently the first debate between GeorgeBush and John Kerry in September 2004 as,Negative,0.693
concern mounts about erodingindependence and standards of Americanjournalism in the face of political andcommercial pressures Jim Lehrer remainsa respected professional whose,Positive,0.764
objectivity and intelligence have earnedthe trust of millions of viewersI am indeed honored to welcome ourcommencement day speaker dr. Jim Blairthank you,Positive,0.653
as the single freshest graduate ofHarvard Universityremember how is the last one to get infact I'm so fresh I still have my robeon and that makes me the most recent new,Positive,0.95
member of the Harvard Alumni AssociationI would like to say to Larry Summersthat on behalf of everybody in this roomand everybody associated with our school,Negative,0.815
we accept your challenge and we willmake it happen sirI don't know about you all you probablyused to this but I was really impressedwith the rundown on the financial,Neutral,0.448
condition but that aside on behalf ofthe nine of us who received honorarydegrees today we as a group would liketo pledge to begin the new the new group,Neutral,0.728
of the class of 2006 we would as a grouplike to pledge 127 billion dollarsgo way beyond Alston way beyond Austinthis is truly a great day for mepersonally in fact in the words of my,Positive,0.931
three year three-year-old granddaughterwho is here Olivia this is what shewould call a hoot and holler day for mein the morningI am awarded an honorary degree and now,Neutral,0.481
as the commencement speaker I had theopportunity to cause second thoughts foreverybody who had anything to do withwhat happened this morning and I thought,Neutral,0.68
I would make those folks particularlynervous by beginning with the bus callyou heard several references thismorning to the fact that I have a busbackground and that bus background,Negative,0.698
includes in the 1950s I worked as aticket agent in the continentalTrailways bus depot and a place calledVictoria in South Texas and one of myduties was to do this into a microphone,Neutral,0.859
may I have your attention pleasethis is your last call for continentalTrailways 8-10 p.m. silversides airconditioned through liner to Houston nowliving from lane wall piranhas at not,Neutral,0.897
