THANK YOU SO MUCH FOR THOSE KIND WORDS OF INTRODUCTION.,Classification,Confidence
"I MUST TELL YOU THAT I'M DELIGHTED, VERY PLEASED AND",Positive,0.997
REALLY HAPPY TO BE HERE. YOU LOOK GOOD!,Positive,0.998
"[LAUGHTER] THE WEATHER IS GOOD, RAIN STAYED",Negative,0.686
AWAY.,Neutral,0.614
I'M HAPPY.,Positive,0.73
IT'S GOOD TO SEE EACH AND EVERY ONE OF YOU.,Positive,0.825
"FELLOWS OF HARVARD UNIVERSITY, MEMBERS OF",Positive,0.98
"THE BOARD OF OVERSEERS, MEMBERS OF THE ALUMNI BOARD,",Neutral,0.742
"DISTINGUISHED DEANS, GUESTS, FACULTY AND ALL OF THE STUDENTS,",Positive,0.879
"ALL OF THE WONDERFUL GRADUATES, AND MADAM PRESIDENT, THANK YOU.",Positive,0.994
"THANK YOU FOR YOUR LEADERSHIP, THANK YOU FOR GETTING IN GOOD",Positive,0.957
TROUBLE!,Neutral,0.586
[LAUGHTER] NECESSARY TROUBLE.,Negative,0.784
TO LEAD THIS GREAT UNIVERSITY.,Neutral,0.674
I WANT TO TAKE JUST A MOMENT TO HONOR,Positive,0.777
"THE TENURE OF A GREAT LEADER, WHO, THROUGH HER COURAGE AND",Positive,0.981
"VISION, WORKED TO LEAD THIS HISTORIC UNIVERSITY TO EVEN",Negative,0.818
HIGHER HEIGHTS.,Positive,0.461
"MADAM PRESIDENT, THANK YOU FOR BEING A FRIEND, BUT MORE",Positive,0.899
"IMPORTANTLY, THANK YOU FOR USING YOUR OFFICE TO MOVE HARVARD",Positive,0.934
TOWARD A MORE ALL-INCLUSIVE INSTITUTION.,Neutral,0.797
"[APPLAUSE] SOMEWHERE ALONG THE WAY, YOU",Negative,0.742
REALIZED THAT THE BRILLIANT MIND IS NOT CONFINED TO ONE,Negative,0.966
DISCIPLINE OR ONE WAY OF THINKING.,Neutral,0.629
"IN FACT, TRUE GENIUS SEES CONNECTIONS AND RELATIONSHIPS",Positive,0.891
"ACROSS BARRIERS, TO BUILD A NEW UNDERSTANDING OF THE WORLD",Neutral,0.885
AROUND US.,Neutral,0.89
CREATING ONE HARVARD IS MUCH LIKE THE WORK I DEDICATED MY,Positive,0.989
LIFE TO.,Positive,0.664
EVER SINCE AS A YOUNG GIRL YOU WROTE A LETTER,Negative,0.466
"TO PRESIDENT EISENHOWER AS A LITTLE GIRL, YOU HAVE BEEN",Positive,0.876
RESPONDING TO THE CRY FOR HUMAN DIGNITY THAT RINGS OUT IN OUR,Positive,0.973
WORLD.,Neutral,0.86
"YOU USED YOUR VISION AND YOUR TALENT, YOU USED THE GREAT",Positive,0.982
"RESOURCES OF THIS UNIVERSITY TO RESPOND TO THAT CALL, AND I",Positive,0.79
THANK YOU.,Positive,0.975
THANK YOU FOR YOUR CONTRIBUTION TO HUMAN UNITY IN OUR WORLD,Positive,0.83
TODAY.,Neutral,0.784
I SAY TO EACH AND EVERY ONE OF YOU WHO,Negative,0.444
"GRADUATED FROM THIS UNIVERSITY, YOU MUST LEAD.",Positive,0.451
"YOU'RE NEVER TOO YOUNG TO LEAD, YOU'RE NEVER TOO OLD TO LEAD!",Neutral,0.536
WE NEED YOUR LEADERSHIP NOW MORE THAN EVERY BEFORE.,Positive,0.6
WE NEED IT!,Positive,0.724
[APPLAUSE] WE MUST SAVE OUR COUNTRY!,Negative,0.448
WE MUST SAVE IT!,Positive,0.825
[APPLAUSE] WE MUST SAVE OUR DEMOCRACY.,Negative,0.681
[APPLAUSE] THERE ARE FORCES IN AMERICA,Neutral,0.674
TODAY AND AROUND THE WORLD TRYING TO TAKE US TO SOME OTHER,Negative,0.991
PLACE.,Neutral,0.599
OUR FOREMOTHERS AND FOREFATHERS BROUGHT US TO THIS PLACE.,Neutral,0.552
MAYBE OUR FOREMOTHERS AND OUR FOREFATHER'S ALL CAME TO THIS,Negative,0.968
GREAT WORLD IN DIFFERENT SHIPS BUT AS THE LATE GREAT RANDOLPH,Positive,0.997
"SAID ""WE ARE ALL IN THE SAME BOAT NOW"" AND WE MUST LOOK OUT",Positive,0.426
FOR EACH OTHER AND CARE FOR EACH OTHER.,Positive,0.672
[APPLAUSE] YOU'RE NEVER TOO YOUNG OR TOO,Positive,0.756
OLD TO LEAD!,Neutral,0.525
TO SPEAK UP!,Neutral,0.86
"SPEAK OUT! AND GET IN GOOD TROUBLE,",Negative,0.799
NECESSARY TROUBLE.,Negative,0.65
YOU CANNOT AFFORD TO STAND ON THE SIDELINES.,Negative,0.935
ANOTHER GENERATION OF YOUNG PEOPLE AND PEOPLE NOT SO YOUNG,Negative,0.655
ARE INSPIRED TO GET IN THE WAY.,Neutral,0.684
"STUDENTS FROM HARVARD, DR.",Neutral,0.563
"COLE, WHO I HAVE BEEN KNOWING FOR MANY",Neutral,0.867
