"THANK YOU, AND I THINK LET'S START.(laughter)PRESIDENT BACOW, FELLOWS OF THE CORPORATION, MEMBERS OF THE BOARD OF OVERSEERS,MEMBERS OF THE ALUMNI BOARD, MEMBERS OF THE FACULTY,",Classification,Confidence
"PROUD PARENTS, AND GRADUATES.TODAY IS A DAY OF JOY.IT'S YOUR DAY.MANY CONGRATULATIONS.I AM DELIGHTED TO BE HERE TODAY AND WOULD LIKE TO TELL YOU ABOUTSOME OF MY OWN EXPERIENCES.",Positive,0.971
"THIS CEREMONY MARKS THE END OF AN INTENSIVE AND PROBABLY ALSOHARD CHAPTER IN YOUR LIVES.NOW, THE DOOR TO A NEW LIFE IS OPENING.THAT'S EXCITING AND INSPIRING.",Positive,0.896
"THE GERMAN WRITER HERMANN HESSE HAD SOME WONDERFUL WORDS FOR SUCH A SITUATION IN LIFE.I'D LIKE TO QUOTE HIM, AND THEN CONTINUE IN MY NATIVELANGUAGE.(speaking in German)",Positive,0.865
"HERMANN HESSE WROTE: IN ALL BEGINNINGS DWELLS A MAGIC FORCE, FORGUIDING US AND HELPING US TO LIVE.(speaking in German)>> THESE WORDS BY HERMANN HESSE INSPIRED ME WHEN I COMPLETED MY PHYSICS DEGREE AT",Positive,0.579
THE AGE OF 24.(speaking in German)>>THAT WAS BACK IN 1978.(speaking in German)THE WORLD WAS DIVIDED INTO EAST AND WEST.(speaking in German)AND IT WAS IN THE GRIPS OF THE COLD WAR.,Neutral,0.544
"(speaking in German)I GREW UP IN EAST GERMANY IN THE G.D.R., THE PART OF MY COUNTRYWHICH WAS NOT FREE AT THAT TIME, IN A DICTATORSHIP.(speaking in German)",Negative,0.404
PEOPLE WERE OPPRESSED AND UNDER STATE SURVEILLANCE.(speaking in German)POLITICAL DISSIDENTS WERE PERSECUTED.(speaking in German)THE EAST GERMAN GOVERNMENT WAS AFRAID THAT THE PEOPLE WOULD,Negative,0.99
"FLEE TO FREEDOM.(speaking in German)AND THAT'S WHY IT BUILT THE BERLIN WALL, A WALL MADE OFCONCRETE AND STEEL.(speaking in German)ANYONE CAUGHT TRYING TO OVERCOME IT WAS ARRESTED OR SHOT DEAD.",Negative,0.94
(speaking in German)THIS WALL WHICH CUT BERLIN IN HALF DIVIDED A PEOPLE ANDFAMILIES.MY FAMILY WAS ALSO DIVIDED.(speaking in German)MY FIRST JOB AFTER COLLEGE WAS AS A PHYSICIST AT THE ACADEMY OF,Negative,0.702
SCIENCES IN EAST BERLIN.(speaking in German)I LIVED NEAR THE BERLIN WALL.(speaking in German)I WALKED TOWARDS IT EVERY DAY ON MY WAY HOME FROM MY INSTITUTE.,Negative,0.85
"(speaking in German)BEHIND IT LAY WEST BERLIN, FREEDOM.(speaking in German)AND EVERY DAY, WHEN I WAS VERY CLOSE TO THE WALL, I HAD TO TURNAWAY AT THE LAST MINUTE, IN ORDER TO HEAD TOWARDS MY",Positive,0.937
"APARTMENT.(speaking in German)EVERY DAY, I HAD TO TURN AWAY FROM FREEDOM AT THE LAST MINUTE.(speaking in German)I DON'T KNOW HOW OFTEN I THOUGHT THAT I JUST COULDN'T TAKE IT",Negative,0.781
"ANYMORE.IT WAS SO FRUSTRATING.(speaking in German)NOW, I WAS NOT A DISSIDENT.(speaking in German)I DIDN'T RUN UP AND BANG AGAINST THE WALL.(speaking in German)",Negative,0.952
"NOR HOWEVER DID I DENY ITS EXISTENCE, FOR I DIDN'T WANT TOLIE TO MYSELF.(speaking in German)THE BERLIN WALL LIMITED MY OPPORTUNITIES.(speaking in German)",Negative,0.474
"IT QUITE LITERALLY STOOD IN MY WAY.(speaking in German)HOWEVER, THERE WAS ONE THING, WHICH THIS WALL COULDN'T DODURING ALL OF THOSE YEARS.(speaking in German)",Negative,0.893
"IT COULDN'T IMPOSE LIMITS ON MY INNER THOUGHTS.(speaking in German)MY PERSONALITY, MY IMAGINATION, MY DREAMS AND DESIRES,PROHIBITIONS OR COERCION COULDN'T LIMIT ANY OF THAT.",Negative,0.862
"(speaking in German)THEN CAME 1989.(speaking in German)A COMMON DESIRE FOR FREEDOM UNLEASHED INCREDIBLE FORCESTHROUGHOUT EUROPE.(speaking in German)IN POLAND, IN HUNGARY, IN CZECHOLSOVAKIA, AS WELL AS IN EAST GERMANY HUNDREDS OF THOUSANDS",Positive,0.583
