20 years ago the Federal CommunicationsCommittee abolished the long-standingFairness Doctrine that requiredbroadcast media to give equal time todivergent views on public issues in the,Classification,Confidence
years sense the budgets and broadcasttime allotted for hard news reportinghave contracted severely at the sametime that their news audiences havegrown older some voices warned that the,Humanities,0.208
segmentation of media may make it tooeasy for Americans to hear just theviews they want to hear rather than thefacts they may need to hear publictelevisions news hour with Jim Lehrer,Society,0.204
has not needed a Fairness Doctrine twofearless Lee and impartially report thenews and analyze it in depth itsself-effacing star is the antithesis ofinfotainment Jim Lehrer hails from,Entertainment & Recreation,0.211
America's heartland born in WichitaKansas schooled in Beaumont and SanAntonio Texas and then the University ofMissouri after three years in the USMarine Corps he worked as a newspaperman,Education,0.633
in Dallas and then migrated totelevision news he joined the PublicBroadcasting System in 1972 and coveredthe Senate Watergate hearings withRobert McNeil in 1973 and 31 years ago,Society,0.206
began the macneil-lehrer report that hasevolved in today's Newshourmr. lair has been honored with numerousawards for journalism including apresidential National Humanities medal,Humanities,0.342
in 1999 in the last five presidentialelections he moderated ten of thenationally televised debates mostrecently the first debate between GeorgeBush and John Kerry in September 2004 as,Entertainment & Recreation,0.313
concern mounts about erodingindependence and standards of Americanjournalism in the face of political andcommercial pressures Jim Lehrer remainsa respected professional whose,Society,0.326
objectivity and intelligence have earnedthe trust of millions of viewersI am indeed honored to welcome ourcommencement day speaker dr. Jim Blairthank you,Education,0.316
as the single freshest graduate ofHarvard Universityremember how is the last one to get infact I'm so fresh I still have my robeon and that makes me the most recent new,Beauty & Style,0.29
member of the Harvard Alumni AssociationI would like to say to Larry Summersthat on behalf of everybody in this roomand everybody associated with our school,Education,0.806
we accept your challenge and we willmake it happen sirI don't know about you all you probablyused to this but I was really impressedwith the rundown on the financial,Consumer Electronics,0.234
condition but that aside on behalf ofthe nine of us who received honorarydegrees today we as a group would liketo pledge to begin the new the new group,Society,0.84
of the class of 2006 we would as a grouplike to pledge 127 billion dollarsgo way beyond Alston way beyond Austinthis is truly a great day for mepersonally in fact in the words of my,Society,0.707
three year three-year-old granddaughterwho is here Olivia this is what shewould call a hoot and holler day for mein the morningI am awarded an honorary degree and now,Society,0.698
as the commencement speaker I had theopportunity to cause second thoughts foreverybody who had anything to do withwhat happened this morning and I thought,Society,0.288
I would make those folks particularlynervous by beginning with the bus callyou heard several references thismorning to the fact that I have a busbackground and that bus background,Travel,0.307
includes in the 1950s I worked as aticket agent in the continentalTrailways bus depot and a place calledVictoria in South Texas and one of myduties was to do this into a microphone,Travel,0.209
may I have your attention pleasethis is your last call for continentalTrailways 8-10 p.m. silversides airconditioned through liner to Houston nowliving from lane wall piranhas at not,Home,0.319
the night all the way they'll KimboPierce Wharton Honda pretend to beRosenberg Richmond Sugar Land StaffordMissouri City and Houstonall aboard don't forget your baggage,Travel,0.792
please now you may be asking what in theworld does that have to do with anythingthat's happening here today first of allI try very hard to include to include a,Society,0.242
bus call in every speech I make for goodluck the second thing it does serve areal purpose this afternoon kind of 50years ago almost of this very day Ireceived my undergraduate degree in,Society,0.888
college the commencement speaker was aman who wore the gaudiest red tie I hadever seen in my life and he wore itbecause he said he wanted us the classof 1956 to remember him he said nobody,Beauty & Style,0.266
in their right mind particularly thosegraduating listens to commencementspeeches so you won't remember anythingI say you won't remember my name or even,Humanities,0.373
what I look like but maybe you willremember this awful red tie well I'vejust proven him correctI remembered the tie he was also right Idid not remember his name and I did not,Society,0.278
remember what he looked likebut he was wrong about one veryimportant thing I did remember what hesaid more or less I paraphrase fromvague memory since you will not remember,Society,0.225
a word I say I have chosen to say verylittlegood luck in your life from this dayforward try to be kind to one and to alland to yourselfthanks for the honorary degree and have,Humanities,0.284
a great afternoonhe gave us a little nod and then hereturned to his seat as you can imaginetwo great and thunderous and thankfulapplause and so since you will not,Society,0.38
remember a word I'd say I have no suchluckno thankful applause right now but inkeeping with the man's basic principlesof commencement addresses I promise not,Society,0.83
to keep you longand here comes the purpose and think ofthe bus call as my equivalent to his redtie something to remember me byjournalism is that my law is my line of,Society,0.833
work and is at the heart of why I amstanding here today but the kind ofbroadcast journalism we do on theNewsHour is the ultimate ultimatecollaborative enterprise as I suggested,Computers & Internet,0.319
at a Shorenstein Center Kennedy schoolevent here a few weeks ago gettingpretty faces like mine on and off theair takes villages of talentedprofessionals thus whatever honors come,Society,0.307
to me including those of today I acceptthem always for them as well as me alsohonored in my case are some guidelinesthat I also shared with that earlier,Society,0.655
Harvard audience they are my personalones that we use at the NewsHour and ourpractice of journalism I wrote them downseveral years ago at the behest of a,Education,0.306
seminar being held at the AspenInstitute do nothing I cannot defendcover write and present every story witha care I would want if the story wereabout me soon there is at least one,Humanities,0.733
other side or version toevery story assume the viewer is assmart and as caring and as good a personas I am assume the same about all peopleon whom I report assumed personal lives,Humanities,0.24
are a private matter until a legitimateturn in the story absolutely mandatesotherwise carefully separate opinion andanalysis from straight news stories and,Society,0.299
clearly label everythingdo not use anonymous sources or blindquotes except on rare and monumentaloccasions no one should ever be allowedto attack another anonymously and,Computers & Internet,0.666
finallyfinally I am NOT in the entertainmentbusinessI have come with only one majorcommencement like point to make you'llbe delighted to hear and let me put it,Animals,0.339
simply and directly I believe we shouldconsider adopting some form of nationalservice no not a return to the militarydraft something entirely different and,Society,0.49
completely new for us national servicein its fullest meaning my reasons haveto do mostly with what I see as anurgent need to address the growing stateof disconnection we have in our country,Society,0.668
today but it is based also on mypersonal experiences which flow directlyfrom something else I did on mygraduation day fifty years agobesides listening to a man in a red tie,Society,0.646
speak I went with my parents from thecommencement ceremony to a building oncampus and I raised my right hand andwas sworn in as a second lieutenant inthe United States Marine Corps I spent,Society,1
the next three years as an infantryofficer mostly in the Far East it wasbetween the Korean and Vietnam warsI saw no combat fired no rounds in angerhad none fired at me had no roadside,Entertainment & Recreation,0.278
bombs kill fellow Marines of mine I wasspared events like that that might havetriggered losing control to going overthe top of civilized behavior into angry,Society,0.835
barbarism as has been charged to give agroup of Marines these days in Iraq butmy marine service was a life-changingexperience for me a positive one that,Society,0.556
