Word,Frequency
oh,2
my,23
goodness,1
i’m,9
at,11
harvard,16
wow,1
to,140
president,5
faust,3
fellow,2
honorans,1
carl,1
that,101
was,43
so,29
beautiful,1
thank,5
you,112
much,5
and,145
james,1
rothenberg,1
stephanie,1
wilson,1
faculty,1
with,23
a,69
special,3
bow,2
friend,1
dr,1
henry,1
lewis,1
gates,1
all,21
of,76
alumni,1
the,131
class,7
’88,1
your,34
$115,1
million,5
members,1
2013,5
hello,1
i,125
for,23
allowing,1
me,21
be,37
part,1
conclusion,1
this,34
chapter,2
lives,6
commencement,1
next,2
say,6
honored,2
doesn’t,6
even,9
begin,1
quantify,1
depth,1
gratitude,1
really,11
accompanies,1
an,10
honorary,1
doctorate,1
from,20
not,14
too,5
many,2
little,8
girls,1
rural,2
mississippi,2
have,32
made,2
it,39
way,11
here,10
cambridge,1
can,16
tell,12
consider,2
today,8
as,23
sat,1
on,16
stage,1
morning,7
getting,1
teary,2
then,8
myself,5
defining,1
milestone,1
in,71
very,4
long,4
blessed,3
journey,1
one,11
hope,2
is,42
source,1
some,8
inspiration,1
going,11
address,1
remarks,1
anybody,2
who,16
has,6
ever,1
felt,4
inferior,1
or,15
disadvantaged,1
screwed,1
by,15
life,9
speech,1
quad,1
actually,3
wanted,4
do,17
something,4
able,1
look,3
under,2
seats,1
there,11
would,10
free,1
master,1
doctor,1
degrees,1
but,21
see,5
got,6
covered,1
already,1
will,20
honest,1
lot,2
pressure,1
over,4
past,2
few,2
weeks,1
come,8
up,9
could,5
share,4
hadn’t,1
heard,7
before,1
because,22
after,2
went,5
did,8
realized,1
don’t,8
necessarily,1
go,5
driven,1
obsessive,1
type,1
personality,3
helps,1
while,2
may,7
graduated,1
admit,1
about,19
they,18
know,19
television,7
career,2
began,1
unexpectedly,1
miss,1
fire,1
prevention,1
contest,1
when,22
16,1
years,11
old,5
nashville,1
tennessee,1
had,11
requirement,1
having,1
red,1
hair,1
order,2
win,2
until,1
year,5
entered,1
were,8
doing,4
question,5
answer,2
period,3
knew,2
wasn’t,2
swimsuit,1
competition,3
during,1
came,7
“why,1
young,3
lady,1
what,34
like,11
grow,1
up”,1
time,17
good,4
answers,1
gone,1
seen,1
barbara,8
walters,2
“today,1
show”,2
answered,1
“i,1
journalist,2
other,6
people’s,1
stories,1
makes,3
difference,4
their,7
world”,1
those,5
words,5
coming,2
out,11
mouth,1
whoa,1
pretty,2
want,17
make,7
well,2
19,2
1986,1
launched,2
own,9
show,5
relentless,1
determination,1
succeed,1
first,2
nervous,1
became,4
raising,2
bar,2
every,11
pushing,4
hard,1
sound,1
familiar,1
eventually,1
we,28
top,1
stayed,1
25,2
“oprah,2
winfrey,3
number,1
our,17
slot,1
21,1
comfortable,1
level,2
success,3
ago,3
decided,3
point,6
recalculate,1
find,5
new,4
territory,1
break,1
ground,1
ended,1
oprah,2
network,8
initials,1
just,13
worked,1
later,1
launching,1
nearly,4
media,2
outlet,1
proclaimed,1
venture,1
flop,3
big,2
bold,1
call,2
still,2
remember,2
day,5
opened,1
usa,2
read,2
headline,1
quite,2
standing,1
her,4
own”,1
mean,2
now,7
that’s,6
nice,1
newspaper,1
last,3
worst,1
professional,1
stressed,1
frustrated,1
frankly,1
—,6
embarrassed,1
right,3
around,5
called,2
asked,4
speak,4
thought,4
graduates,5
possibly,1
most,6
successful,2
world,9
moment,2
stopped,1
succeeding,1
off,2
phone,1
shower,5
either,1
bag,1
oreos,1
chose,1
hymn,2
it’s,7
“by,1
comes”,1
started,2
thinking,1
might,7
stuck,2
hole,4
“trouble,1
always”,1
“this,1
shall,2
pass”,1
am,1
turn,1
thing,2
better,6
truth,3
turned,1
motivation,1
prouder,1
fundamental,1
learned,5
unless,1
studied,1
ancient,1
greek,1
hero,1
professor,2
nagy,2
said,10
“please,1
ms,1
walk,3
decisively”,1
decisively,1
matter,4
how,2
far,3
rise,1
are,14
bound,1
stumble,3
if,7
you’re,6
constantly,2
yourself,10
higher,3
law,1
averages,1
mention,1
myth,1
icarus,1
predicts,1
fall,2
this:,2
no,6
such,1
failure,3
trying,1
move,3
us,7
another,1
direction,1
down,3
looks,1
spoon,1
feed,1
comes,1
okay,7
feel,3
bad,1
give,3
mourn,1
think,1
lost,2
here’s,1
key:,1
learn,2
mistake,1
experience,2
encounter,3
particularly,1
mistakes,1
teach,2
force,1
into,1
being,5
more,10
figure,1
key,1
develop,2
internal,2
moral,1
emotional,1
gps,3
which,1
forever,2
google,1
search,1
results,1
“harvard,1
2013”,1
competitive,1
calling,3
card,2
employs,1
people,11
“harvard”,1
sit,4
straighter,1
“where,1
he,9
she,6
bring,1
them,5
in”,1
impressive,2
lead,1
bullets,1
ahead:,1
lawyer,1
senator,1
ceo,1
scientist,1
physicist,1
winners,1
nobel,1
pulitzer,1
prizes,1
late,1
night,2
talk,2
host,1
challenge,1
found,2
build,1
résumé,2
simply,4
story,8
accomplish,1
why,1
collection,2
titles,1
positions,1
purpose,5
inevitably,2
get,3
true,2
dharma,1
discovery,1
1994,1
interviewed,1
girl,4
collect,2
pocket,1
change,7
help,2
need,1
raised,2
thousand,1
dollars,2
herself,2
9-year-old,2
bucket,1
heart,1
wonder,1
viewers,3
take,1
month,2
pennies,1
nickels,1
dimes,1
than,9
three,1
used,2
send,1
student,1
state,1
united,1
states,1
college,3
beginning,2
angel,5
“do,1
wherever,3
talent,1
money,1
it”,1
extend,1
kindness,1
human,4
beings,1
together,4
built,1
55,1
schools,2
12,4
different,1
countries,1
restored,1
300,1
homes,1
devastated,1
hurricanes,1
rita,1
katrina,1
been,4
air,1
focused,1
helped,2
decide,1
tv,2
goal,2
shows,1
interviews,2
business,1
philanthropy,1
whatever,1
ventures,1
pursue,1
clear,6
unites,1
ultimately,1
redeeming,1
compelling,1
anything,2
separates,1
become,2
isn’t,1
always,5
since,1
’94,1
expect,1
clarity,1
once,2
away,2
earth,2
use,2
it;,1
illuminate,1
transcendent,1
power,2
angels,2
didn’t,1
also,3
helping,1
reminded,2
believe,4
both,6
possible,2
importantly,1
becomes,1
powerful,1
common,4
effort,1
saw,1
bill,1
moore,1
recently,1
interview,3
david,3
francine,3
wheeler,2
7-year-old,1
son,1
ben,1
sandy,1
hook,1
tragedy,1
though,2
gun,1
safety,1
legislation,1
strengthen,1
background,2
checks,2
voted,1
congress,1
talked,2
refused,2
discouraged,1
“our,1
hearts,1
broken,1
spirits,1
conversation,1
love,1
without,1
fighting,1
them”,1
husband,1
added,1
“you,1
cannot,2
demonize,1
vilify,1
someone,1
agree,2
minute,1
discussion,1
any,2
longer,1
problem,1
enormous,2
darkness,3
banished,2
light”,2
political,1
system,1
often,1
reflection,1
country,5
polarized,1
paralyzed,1
self-interested,1
yet,1
cynicism,1
pessimism,1
regurgitated,1
throughout,1
washington,1
24-hour,1
cable,1
news,4
cycle,1
channel,1
understand,4
vast,1
majority,1
stronger,1
realize,1
uphold,1
second,1
amendment,1
reduce,1
violence,1
robbing,1
children,1
incompatible,1
americans,1
path,2
citizenship,1
undocumented,1
immigrants,1
reside,1
enforce,1
laws,1
same,2
embrace,1
statue,1
liberty,1
welcomed,1
generations,1
huddled,1
masses,1
shores,1
parties,1
party,1
indigent,1
mothers,1
families,1
should,1
access,1
healthy,1
food,1
roof,1
heads,1
strong,1
public,1
education,1
richest,1
nation,2
afford,1
basic,1
security,1
opportunity,2
maybe,7
these,3
beliefs,1
care,1
issues,1
challenges,2
passionate,1
serving,1
government,1
launch,1
parents,1
appreciate,1
generation,5
charged,1
task,1
breaking,1
through,2
body,1
politic,1
thus,1
impervious,1
each,2
attending,1
prestigious,1
school,2
chance,1
neighbors,1
let,2
sure,4
gets,1
maya,1
angelou,1
says,3
“when,1
friends,3
gives,1
meaning”,1
armed,1
tools,1
influence,1
empowerment,1
history,1
analog,1
platform,1
its,1
height,1
reached,1
20,1
twitter,1
facebook,2
youtube,1
tumblr,1
reach,1
billions,1
seconds,1
rejected,1
predictions,1
detachment,1
disengagement,1
showing,2
vote,1
record,1
numbers,2
2008,1
pundits,1
you’d,2
disappointed,1
dejected,1
repeat,1
kind,1
turnout,1
2012,1
election,1
proved,1
wrong,1
greater,1
developed,1
finely,1
honed,1
radar,1
bs,1
“bs”,1
spin,1
phoniness,1
artificial,1
nastiness,1
saturates,1
national,1
debate,1
real,2
progress,1
requires,1
authentic,2
honesty,1
