word,count
there,138
is,635
something,60
extraordinarily,1
exciting,9
about,191
good,71
academic,7
education,39
nowhere,2
this,336
seen,14
more,162
clearly,6
than,123
at,233
harvard,164
as,363
teachers,4
here,100
we,525
all,222
get,68
used,18
to,1752
astonishing,4
brightness,1
even,99
before,36
you,677
have,415
asked,17
your,218
question,25
student,10
proceeds,2
answer,18
it,532
explaining,1
modestly,1
that,958
her,34
may,72
left,21
room,9
for,470
doubt,8
going,62
on,311
addperhaps,1
not,340
so,214
modestlythat,1
the,2785
questions,17
chose,4
ask,21
indeed,13
cultivation,1
of,1664
doubts,18
and,1722
sharpening,1
are,257
an,183
integral,2
part,30
university,38
its,137
importance,9
lies,12
partly,2
in,1149
close,5
connection,10
between,36
science,14
doubting,1
francis,2
bacon,4
distinguished,8
two,45
different,30
contributions,5
can,176
make,91
his,53
essay,1
advancement,1
learning,8
published,7
nearly,12
years,145
ago,50
registering,1
proposing,1
has,164
a,1120
double,2
use,39
said,57
one,200
straightforward,3
guards,1
us,149
against,24
errors,1
second,34
argued,4
involved,5
role,16
initiating,1
furthering,1
process,7
inquiry,2
which,91
effect,4
enriching,1
our,262
investigations,1
issues,14
would,143
been,133
passed,4
by,199
lightly,2
without,41
intervention,3
noted,4
end,38
up,97
being,42
attentively,1
carefully,3
observed,2
precisely,2
because,128
constructive,3
value,13
applies,5
only,83
studies,3
general,13
but,336
also,73
assessment,1
public,31
policy,8
take,46
current,7
debates,5
globalization,11
active,1
recent,9
yearsnot,1
just,118
seattle,1
or,187
washington,18
dc,5
less,17
organized,1
protestations,1
bangkok,1
jakarta,1
mexico,5
city,15
abidjan,1
elsewhere,5
case,17
global,43
trade,14
worldwide,6
modern,7
technology,21
finance,3
strongvery,1
strong,11
yet,29
cannot,26
begin,15
understand,22
intellectual,8
content,1
these,82
disputes,1
addressing,2
reasons,10
inspire,2
disputations,1
unfortunately,3
frequently,4
encounter,4
dialogue,2
deaf,2
those,83
who,169
blame,4
evils,2
ready,3
turn,19
their,138
into,60
indictments,1
propose,2
summary,2
rejection,5
then,58
translated,1
oversimple,1
slogans,3
other,89
side,12
believe,22
antiglobalization,2
rhetoric,4
ill,7
founded,3
tend,3
immediately,4
dismiss,3
foolishor,1
worse,4
sides,3
face,16
each,35
like,98
ships,2
passing,4
night,11
both,24
opponents,2
see,57
new,89
folly,2
neither,6
particularly,8
nor,7
largely,4
intensification,1
processes,2
interaction,1
involving,3
travel,5
migration,3
dissemination,1
knowledge,12
shaped,1
progress,17
world,198
over,43
millennia,3
polar,2
opposite,1
persistent,2
separatism,1
relentless,2
autarky,1
worrying,2
image,2
seclusion,1
arrestingly,1
invoked,2
many,90
old,37
sanskrit,2
texts,2
india,12
i,1083
know,111
four,16
such,36
beginning,17
half,16
undoubtedly,4
references,3
same,37
concern,4
story,24
frog,1
lives,56
whole,12
life,88
within,16
well,60
suspicious,1
everything,14
outside,6
kupamandukathe,1
wellfroghas,1
view,16
entirely,3
confined,3
scientific,14
cultural,3
economic,29
history,31
very,63
limited,3
had,205
lived,8
wellfrogs,4
important,20
issue,9
since,43
plenty,2
around,28
course,33
attorneys,1
immediate,5
point,24
however,15
extensive,1
evidence,19
economy,17
actually,16
brought,12
prosperity,9
areas,1
globe,9
productive,2
integration,1
scarcely,1
be,369
denied,3
recognize,6
enormous,6
inequalities,4
exist,8
across,22
often,18
country,57
relations,3
come,57
from,227
ends,5
they,177
sense,26
doubtsnot,1
assortment,1
local,8
opposition,3
examine,2
manifest,2
disparities,2
give,38
political,22
salience,1
what,222
needed,12
positive,3
market,12
mechanism,2
generating,1
income,3
wealth,6
recognition,4
work,52
institutions,16
need,44
power,46
protection,7
provided,5
democratic,10
practice,3
civil,10
human,38
rights,21
free,31
open,14
media,15
facilities,2
basic,9
healthcare,3
safety,6
nets,1
provisions,2
womens,2
freedom,29
rightsa,1
neglected,1
area,2
now,133
receive,5
attention,12
deserves,3
let,43
me,208
few,30
quick,2
examples,7
first,95
wellfunctioning,1
does,20
obviate,2
democracy,18
latter,1
people,163
live,26
way,76
bossed,1
allow,10
voice,15
demand,8
interests,9
ignored,1
fact,33
no,119
famine,1
ever,36
occurred,2
with,305
press,21
regular,3
elections,4
rudimentary,1
illustration,1
surprising,1
became,13
much,87
stronger,9
east,12
southeast,1
asia,4
crisis,22
developed,4
spread,7
albert,1
hirschman,1
discussed,2
alternative,3
exit,1
conflict,13
fostering,1
democracies,2
quite,16
capitalist,1
show,24
distinct,2
preference,1
orderly,1
autocracies,1
adversarial,1
politics,14
governance,2
activist,2
ability,10
participate,4
radically,1
influenced,1
social,13
arrangements,3
microcredit,1
land,5
reform,3
policies,10
furthermore,2
sharing,1
benefits,9
depends,2
prosperous,2
countries,31
deprivation,1
disadvantaged,2
groups,5
united,42
states,38
example,14
african,16
americans,17
claimed,3
though,13
group,11
poorer,1
american,29
whites,2
typically,2
times,36
richer,4
developing,5
per,1
head,10
terms,17
probability,1
surviving,1
mature,1
ages,3
fall,9
behind,20
population,5
third,10
regions,1
including,11
substantial,1
parts,1
china,9
put,18
exclusively,1
death,9
violence,10
higher,14
mortality,3
rate,5
continues,2
beyond,16
when,172
any,40
real,19
difference,19
lack,5
medical,5
insurance,1
play,14
breakdown,1
innercity,2
unprecedented,2
boom,1
enjoyed,3
resolved,2
problems,11
overwhelming,2
empowerment,3
through,44
schooling,1
employment,1
opportunities,12
et,2
cetera,1
most,83
farreaching,3
effects,6
allmen,1
women,23
children,33
reduces,1
child,4
cuts,1
down,43
health,14
hazards,1
adults,1
arising,1
low,2
birth,3
weight,2
increases,2
range,2
effectiveness,1
influential,2
growth,10
moderating,1
fertility,4
rates,4
influence,5
halving,2
bangladesh,1
decades,21
while,21
some,86
districts,1
high,20
others,47
gender,3
equity,3
already,24
lower,3
britain,2
reach,8
astonishingly,1
large,5
related,2
great,80
john,8
kenneth,1
galbraith,1
made,45
forcefully,2
assessed,1
countervailing,2
exercise,6
another,29
asymmetric,1
domain,2
checked,1
configuration,1
forces,16
thisand,1
morewas,1
galbraiths,1
book,15
capitalism,2
remember,43
reading,16
college,46
calcutta,1
coffee,3
house,24
trying,18
resist,3
evicted,1
waiter,1
unreasonable,2
ground,6
could,81
hog,1
chair,2
finish,4
entire,8
consuming,1
cup,2
occasion,7
got,31
using,6
my,380
determined,5
immovability,1
institutional,9
balance,5
distribution,1
relates,1
closely,1
plurality,1
basis,5
includes,4
among,13
organization,5
bank,4
international,18
monetary,1
fund,3
necessary,6
reexamine,1
running,7
architecture,3
present,7
was,461
set,12
middle,12
s,18
understanding,6
needs,12
interpreted,1
bretton,2
woods,2
conference,3
held,13
war,42
coming,10
framework,2
did,58
help,25
foster,1
development,17
distributional,1
equityeither,1
sphere,1
bulk,2
africa,19
still,36
under,14
colonial,1
rule,5
kind,20
tolerance,5
insecurity,1
poverty,15
greater,11
west,10
emerged,5
massive,5
depression,6
destructive,2
little,39
huge,3
prospects,3
today,89
existing,6
substantive,1
followed,4
principal,1
big,31
changes,7
priorities,1
involvement,2
security,17
address,29
fully,5
nations,22
forcing,1
concerns,4
un,7
kept,9
state,23
financial,8
precariousness,1
member,6
failing,3
pay,10
dues,1
attempt,2
politicians,6
illjudged,1
attacks,5
functioning,1
best,31
molehill,1
out,107
mountain,2
economics,4
gets,5
support,13
debate,9
ultimately,5
efficiency,3
markets,2
rather,14
inequality,6
significantly,1
conflicting,2
depending,2
indicators,1
absolutely,3
clear,24
far,18
willing,4
accept,12
were,135
reflect,5
mood,1
extent,1
equivalent,4
withinnation,1
protests,3
familiar,5
time,107
common,20
spirit,8
songa,1
variant,1
defiant,1
verse,2
composed,1
originally,1
leadbelly,1
home,13
brave,3
will,188
bourgeoisie,1
quarters,1
dissimilar,1
styles,1
disparate,1
grumbles,1
difficult,15
reject,1
criticisms,1
right,52
rejectable,1
points,3
should,56
repulsed,1
despite,4
confront,5
manifestations,1
phase,1
infancy,2
english,5
friend,9
mine,7
told,30
after,47
visiting,2
he,124
struck,1
language,12
commerce,2
gone,11
candy,1
shop,3
delhi,2
buy,2
sweets,1
found,15
glass,2
jars,1
full,8
candies,1
prominently,1
displayed,2
described,5
contents,1
bold,4
letters,5
superior,2
inferior,2
plain,3
speaking,161
expected,6
jar,1
called,19
standard,6
growing,11
intolerance,3
draw,3
similar,6
inclination,1
react,2
disparitiesnot,1
affluence,1
looked,7
appears,2
intolerable,1
imposition,1
inferiority,3
hundreds,9
millions,25
validate,1
placards,1
posters,1
invitation,4
become,25
critical,4
examination,1
initiatives,1
holiday,1
scrutiny,2
answering,1
deciding,5
ignore,4
voices,5
concernand,1
humanity,9
bacons,1
words,26
broader,2
pass,8
significance,3
themes,1
theses,1
critically,1
form,11
ultimate,5
neglect,2
back,47
came,41
start,21
find,40
yorker,3
reference,1
article,4
written,9
quote,9
last,54
century,13
persons,7
age,28
thinking,18
how,110
things,54
turned,9
badly,2
returned,5
assorted,1
services,1
ended,5
peace,19
resumed,1
perhaps,18
remembered,5
widely,2
thought,31
summon,1
optimism,6
surprise,5
beloved,1
colleague,3
nathan,1
glazer,2
revered,1
david,8
riesman,2
wrote,17
america,21
chance,14
seemed,8
surmounted,1
realistically,1
think,54
stability,6
above,12
law,43
looking,12
fortunate,4
leaders,12
preserved,1
measure,7
extended,2
totalitarianism,2
defeated,2
contrary,4
totalitarians,1
controlled,1
eurasia,1
learn,17
days,13
nagasaki,1
soviets,1
established,6
special,5
committee,7
create,21
weapon,1
atomic,2
bomb,5
acquired,2
espionage,3
hydrogen,1
own,83
doing,19
cold,8
summer,5
interludes,1
finally,14
collapse,2
soviet,11
union,10
if,132
once,21
again,26
small,15
acts,5
terror,4
south,11
lead,28
cataclysm,1
sarajevo,1
powers,3
mindful,2
preparing,5
eras,1
overlapping,1
reacts,2
mass,8
murder,2
prepares,2
do,188
consider,11
endured,3
response,7
happens,3
man,21
detonated,1
nuclear,11
device,1
sent,5
prime,7
minister,5
indira,1
gandhi,1
statement,4
anything,20
regret,3
nothing,22
done,20
happen,8
populous,1
nation,19
earth,8
leave,13
itself,11
disarmed,1
disregarded,1
nonnuclear,1
appeared,5
leaving,6
speak,25
official,5
twenty,6
opined,1
moghul,1
command,2
islamabad,1
weapons,10
kashmir,1
punjab,1
dare,2
she,52
agreed,3
murdered,3
garden,1
next,20
son,6
successor,1
suicide,2
bomber,1
accumulated,1
poised,1
standing,10
trinity,1
site,3
los,3
alamos,1
j,1
robert,3
oppenheimer,1
pondered,1
ancient,4
text,3
lord,1
shiva,1
declares,1
am,54
shatterer,1
worlds,16
least,17
limits,3
capacity,10
foresee,1
events,9
senate,5
observer,1
negotiations,3
geneva,2
foreign,12
treaty,3
having,18
signed,2
ratification,1
moment,20
mischief,1
remarked,1
superb,1
negotiators,1
them,96
negotiate,2
document,1
confidently,1
locate,1
map,3
exchanged,1
lisbon,2
protocol,1
sounded,1
humphrey,1
bogart,1
movie,13
hard,28
intelligence,10
anticipated,1
implosion,1
cite,2
stansfield,1
turner,2
former,7
director,4
cia,2
affairs,1
gloss,1
enormity,1
failure,22
forecast,1
magnitude,1
crisisthe,1
corporate,2
missed,2
mile,1
russia,2
faces,4
nearpermanent,1
midcentury,1
decline,2
million,14
immigrants,6
dares,1
happened,9
materials,2
scattered,1
zones,2
admiral,1
turners,1
entitled,5
order,21
later,16
samuel,1
huntington,6
outlined,1
disorder,1
journal,1
clash,5
civilizations,6
subsequent,2
title,1
defining,7
perceives,1
seven,6
eight,5
major,13
cultures,4
islam,5
add,6
japan,3
incorporate,1
nationstate,1
leads,5
fellows,6
suppressed,1
universal,8
widespread,1
merely,7
residual,1
proxy,2
conflicts,4
dating,2
earlier,8
era,6
ethnic,4
horrors,1
occur,2
fault,2
lines,2
arguments,4
sake,6
marxism,1
successful,12
effort,7
westernize,1
rest,7
stood,7
tiananmen,1
square,3
center,10
kingdom,1
otherwise,6
empty,2
space,5
towering,1
masts,1
top,6
giant,1
portraits,1
hirsute,1
th,11
german,160
gentlemen,6
messrs,1
marx,1
engels,1
somewhat,1
mongollooking,1
stalin,1
mao,1
wasnt,11
didnt,31
hence,1
central,3
problem,22
discordance,1
wests,1
americas,5
efforts,6
promote,2
western,4
culture,7
declining,2
seems,7
must,64
look,32
dread,1
bulletin,1
scientists,6
recently,4
pakistan,1
touched,2
off,22
december,3
terrorist,2
attack,9
indian,1
parliament,3
marks,2
closest,2
cuban,1
missile,1
minutehand,1
doomsday,1
clock,1
dropped,3
minutes,3
midnight,3
moved,6
forward,11
three,24
where,54
started,25
september,7
terrorists,7
able,7
produce,4
destruction,8
separately,1
terrorism,10
nonwestern,2
weak,5
