Rank,Word,Count
1,for,16
2,is,16
3,one,16
4,us,15
5,house,15
6,applause,13
7,say,13
8,your,12
9,lead,12
10,this,12
11,my,12
12,must,11
13,be,11
14,from,11
15,young,10
16,our,10
17,was,10
18,thank,9
19,not,9
20,out,9
21,up,9
22,or,8
23,as,8
24,came,8
25,on,8
26,people,8
27,will,8
28,harvard,7
29,all,7
30,but,7
31,more,7
32,way,7
33,said,7
34,were,7
35,with,7
36,each,6
37,university,6
38,students,6
39,world,6
40,little,6
41,have,6
42,been,6
43,call,6
44,never,6
45,old,6
46,save,6
47,get,6
48,can,6
49,would,6
